geonameid,name,admin1,geom,cluster
4050338,Burton School (historical),SC,0101000020CE130000109CC225A4513541C344BDD564873141,-1
4050354,Groomville School (historical),SC,0101000020CE1300008AADC4B3DD7636419D6CE7F409E03241,-1
4050361,Blacksher School,AL,0101000020CE130000A862F389FA912841695B4FE4ABFD2C41,-1
4050377,Blackwater School,AL,0101000020CE130000927386CB6527284188E70EDDD19F2A41,-1
4050396,Saint Angela Academy,SC,0101000020CE1300001BF9C4EA7E033441FC8F9C5781453341,4
4050423,Bladeley School,AL,0101000020CE1300004EF4122D0AA027413E9AADEFF01A2B41,-1
4050462,Wolfton School,SC,0101000020CE1300001B6138D78A063541763F38098C7E3341,-1
4050472,Bell Branch School (historical),TN,0101000020CE130000184EC92C3C5C274178D8376BBA403641,-1
4050475,Blake School,AL,0101000020CE130000304D4BC7E1EE2841DBFD6B390DA13141,-1
4050477,Blake School,AL,0101000020CE1300000AF71E31A6022741485BDBC73D583441,19
4050479,Blake Junior High School,AL,0101000020CE130000518147256F6B2C41868869AA38283441,-1
4050495,Blakeley School,AL,0101000020CE130000F436E5ECDB9F27412BB365BBB01A2B41,-1
4050549,Blessed Martin De Porres School,AL,0101000020CE130000681CB10DACE62B41F0AD3C0F41513341,1
4050551,Blessed Sacrament School,AL,0101000020CE130000677BAE0993B62941B469309E8D493241,7
4050558,Davidson School (historical),TN,0101000020CE130000FD47D40305882D415AA860B1C8463741,-1
4050559,Blessing School (historical),AL,0101000020CE13000078FF430621812B4102A4F8D1BAB23341,-1
4050561,Blessing School (historical),AL,0101000020CE1300009E61DF11567F2B412AE8B37407C13341,-1
4050577,Bliss School (historical),AL,0101000020CE13000009DB9087116F294154E578594BFD3041,-1
4050590,Fairview School (historical),TN,0101000020CE1300001A77D4DCEC8D27418E819B6DABD83441,-1
4050612,Haney School (historical),TN,0101000020CE130000274C38E9CA8B25416E0D2CBE77893541,-1
4050625,Blossomwood Elementary School,AL,0101000020CE13000036DC1239861B2A410BA4F7360F6C3441,2
4050641,Blount Highlands School,AL,0101000020CE130000C75FC8342B6F2A41948420F53DDC3241,-1
4050644,James Madison Elementary School,TN,0101000020CE130000C7A2EB8B36163241F4FAC739292E3841,71
4050661,Blountsville Elementary School,AL,0101000020CE1300009195A27860452A41DEF32AA0B8553341,-1
4050663,Blountsville High School,AL,0101000020CE1300007BE4F72B4D432A41E43F74E71A563341,-1
4050722,Millington Middle School,TN,0101000020CE13000002E3B24F8EC420412CC8E7F3431D3541,0
4050724,Persia School (historical),TN,0101000020CE130000B27BCEBF7595314138CC93DC44BE3741,-1
4050742,Oneida High School,TN,0101000020CE1300004CCC3DDC6A092F4194E9833CB3C13741,-1
4050744,North Cumberland Elementary School,TN,0101000020CE130000871F65380DC42D4114F313D4CB0E3741,-1
4050766,Priest School,TN,0101000020CE1300006FE1426C40EE28415828526A52A93641,-1
4050853,Blue Mountain Elementary School,AL,0101000020CE130000A4CE18C12F7E2C410E60D3F42DC53241,25
4050882,Bea Salazar Transition School,TX,0101000020CE13000056CEF2F4A4CBF3C0828662D7C6CA3041,100
4050891,Blue Ridge School,AL,0101000020CE130000682D5F55A1002941DB2193E0015F3441,-1
4050898,Bailey Inglish Elementary School,TX,0101000020CE13000029C4E0FCE606D0C073E4F0CCE5D33141,4
4050906,Arlington Heights School,TX,0101000020CE1300000AB1EE9F0EC7FFC061C17619E1663041,99
4050912,Bryan School,TX,0101000020CE13000084486FD794620CC1A2EFE2297D9E1541,5
